,SITE_ID,LATITUDE,LONGITUDE,r
110,111,-37.815992,144.961028,314.5225418240499
111,112,-37.814484,144.9635,218.5516275094435
112,113,-37.813167,144.965468,322.58249179322013
113,114,-37.81922,144.958485,234.24306172105742
114,115,-37.815858,144.954818,200.0154460005065
115,116,-37.816217,144.970928,228.41712869694513
116,117,-37.810269,144.96986299999998,267.96571214784126
117,118,-37.819101,144.954229,398.6241307694444
118,119,-37.811022,144.959234,207.13099354841384
119,120,-37.81215,144.96195500000002,243.01050740749244
120,121,-37.816496,144.96509,395.0129599443855
121,122,-37.815296,144.958369,381.730808715356
122,123,-37.81631,144.964351,206.79832116827825
123,124,-37.817386,144.96123,323.9891518233468
124,125,-37.813175,144.952919,364.2689855049933
